iter	Passed	Remaining
0	12	12340
1	28	14437
2	44	14800
3	60	15042
4	75	14929
5	92	15248
6	105	14991
7	120	14986
8	134	14777
9	149	14786
10	162	14579
11	173	14284
12	192	14622
13	208	14662
14	219	14389115	236	14528
16	250	14486
17	270	14741
118	299	15477119	314	1540020	313	14595
21	333	14809
22	349	14855
23	365	14870
24	380	14849
25	396	14859
26	413	14887
27	425	14779
28	438	14697
29	455	14715
30	468	14648
31	485	14700
32	501	14701
33	514	14612
34	524	14462
35	561	15037
36	556	14488
37	572	14496
38	610	15031
39	625	15023
40	643	15063
41	656	14977
42	672	14961
43	668	14525
44	700	14871
45	692	14370
46	706	14328
447	735	1459448	755	14666449	772	14682
550	783	14578551	798	14551552	814	1455753	814	14276
554	845	1452055	844	14236
56	860	14228
57	878	14268
58	898	14334
59	912	14294
60	930	14324
61	945	14297
62	961	14301
63	976	14275
64	994	14304
65	1007	14261
66	1026	14294
67	1039	14244
68	1055	14236
69	1071	14233
70	1085	14207
71	1099	14174
72	1109	14091
73	1123	14062
74	1141	14074
75	1158	14082
76	1174	14074
77	1190	14072
78	1206	14070
79	1219	14029
80	1231	13973
81	1245	13943
82	1261	13931
83	1274	13899
84	1288	13870
85	1303	13858
86	1320	13852
87	1337	13864
88	1354	13865
89	1379	13950
90	1394	13933
91	1412	13941
92	1424	13894
93	1438	13869
94	1452	13840
95	1466	13807
96	1480	13783
97	1494	13756
98	1510	13748
99	1529	13764
100	1544	13747
101	1560	13741
102	1576	13729
103	1591	13714
104	1626	13865
105	1642	13850
106	1657	13832
107	1655	13670
108	1668	13637
109	1708	13824
110	1726	13824
111	1741	13804
112	1754	13775
113	1770	13760
114	1784	13733
115	1801	13727
116	1818	13721
117	1814	13562
118	1832	13568
119	1849	13564
120	1866	13562
121	1880	13534
122	1893	13502
123	1911	13504
124	1926	13487
125	1942	13477
126	1956	13450
127	1969	13418
128	1983	13392
129	2000	13388
130	2016	13376
131	2030	13349
132	2047	13347
133	2060	13318
134	2075	13295
135	2092	13296
136	2110	13294
137	2122	13255
138	2137	13242
139	2153	13228
140	2168	13213
141	2184	13201
142	2199	13179
143	2213	13159
144	2227	13136
145	2239	13101
146	2257	13097
147	2293	13205
148	2308	13185
149	2302	13048
150	2316	13025
151	2330	13004
152	2369	13116
153	2365	12995
154	2401	13091
155	2418	13086
156	2431	13057
157	2445	13030
158	2440	12905
159	2455	12889
160	2473	12888
161	2486	12860
162	2499	12833
163	2518	12836
164	2532	12817
165	2546	12792
166	2561	12776
167	2577	12766
168	2596	12769
169	2610	12743
170	2625	12726
171	2649	12753
172	2663	12732
173	2674	12696
174	2688	12672
175	2702	12651
176	2720	12648
177	2734	12628
178	2753	12629
179	2766	12602
180	2783	12595
181	2800	12586
182	2811	12551
183	2825	12528
184	2841	12520
185	2855	12495
186	2869	12476
187	2880	12441
188	2924	12547
189	2939	12532
190	2930	12413
191	2971	12504
192	2985	12485
193	3002	12473
194	3015	12447
195	3030	12432
196	3021	12317
197	3042	12321
198	3056	12303
199	3094	12379
200	3112	12371
201	3126	12351
202	3142	12339
203	3157	12318
204	3168	12288
205	3182	12264
206	3173	12158
207	3189	12145
208	3204	12128
209	3241	12195
210	3255	12174
211	3274	12171
212	3293	12170
213	3315	12178
214	3329	12158
215	3343	12136
216	3359	12122
217	3372	12098
218	3386	12078
219	3401	12058
220	3418	12051
221	3438	12049
222	3451	12027
223	3465	12004
224	3477	11979
225	3490	11953
226	3502	11928
227	3517	11909
228	3533	11897
229	3547	11877
230	3560	11854
231	3577	11844
232	3594	11833
233	3608	11811
234	3625	11801
235	3643	11796
236	3661	11788
237	3678	11778
238	3693	11761
239	3708	11743
240	3721	11719
241	3734	11696
242	3754	11696
243	3767	11673
244	3787	11670
245	3802	11654
246	3817	11639
247	3832	11622
248	3848	11608
249	3863	11591
250	3874	11563
251	3888	11543
252	3907	11537
253	3922	11521
254	3938	11505
255	3955	11495
256	3969	11475
257	3984	11458
258	4001	11448
259	4017	11434
260	4032	11418
261	4047	11401
262	4060	11378
263	4077	11367
264	4091	11348
265	4108	11337
266	4124	11323
267	4140	11308
268	4156	11293
269	4171	11278
270	4187	11265
271	4205	11257
272	4224	11249
273	4239	11232
274	4258	11226
275	4272	11207
276	4289	11196
277	4304	11178
278	4317	11156
279	4333	11142
280	4345	11117
281	4367	11120
282	4383	11105
283	4399	11091
284	4418	11084
285	4431	11062
286	4446	11046
287	4464	11037
288	4480	11021
289	4495	11006
290	4505	10978
291	4523	10967
292	4535	10944
293	4552	10932
294	4567	10914
295	4584	10903
296	4598	10885
297	4615	10872
298	4632	10861
299	4646	10841
300	4662	10828
301	4683	10824
302	4699	10810
303	4715	10796
304	4738	10797
305	4754	10782
306	4770	10768
307	4787	10757
308	4802	10740
309	4817	10722
310	4832	10705
311	4846	10687
312	4858	10664
313	4875	10650
314	4889	10633
315	4905	10617
316	4918	10597
317	4932	10578
318	4949	10566
319	4961	10544
320	4977	10528
321	4992	10512
322	5006	10494
323	5020	10474
324	5033	10453
325	5048	10437
326	5063	10421
327	5075	10399
328	5090	10381
329	5106	10367
330	5119	10346
331	5135	10332
332	5150	10316
333	5165	10299
334	5181	10285
335	5193	10263
336	5206	10242
337	5220	10223
338	5233	10204
339	5252	10195
340	5267	10178
341	5281	10160
342	5296	10144
343	5310	10127
344	5329	10117
345	5343	10099
346	5356	10079
347	5369	10059
348	5385	10046
349	5400	10029
350	5413	10008
351	5433	10003
352	5448	9985
353	5464	9972
354	5477	9952
355	5494	9938
356	5506	9917
357	5522	9904
358	5535	9884
359	5547	9861
360	5563	9848
361	5576	9828
362	5594	9817
363	5610	9803
364	5625	9786
365	5639	9768
366	5654	9753
367	5666	9731
368	5684	9720
369	5695	9697
370	5709	9680
371	5720	9657
372	5734	9640
373	5750	9625
374	5765	9608
375	5782	9597
376	5801	9587
377	5817	9571
378	5829	9551
379	5842	9531
380	5855	9513
381	5870	9496
382	5881	9475
383	5897	9459
384	5909	9439
385	5925	9425
386	5942	9412
387	5961	9403
388	5986	9403
389	6002	9387
390	6017	9372
391	6034	9359
392	6049	9343
393	6065	9328
394	6078	9310
395	6092	9293
396	6106	9275
397	6120	9257
398	6134	9240
399	6148	9222
400	6160	9202
401	6171	9180
402	6182	9159
403	6196	9141
404	6214	9130
405	6226	9109
406	6241	9093
407	6255	9076
408	6270	9060
409	6285	9044
410	6300	9029
411	6314	9011
412	6336	9005
413	6351	8990
414	6369	8978
415	6385	8964
416	6397	8944
417	6415	8932
418	6429	8915
419	6445	8901
420	6460	8884
421	6473	8865
422	6487	8848
423	6501	8832
424	6513	8813
425	6527	8795
426	6549	8789
427	6566	8775
428	6578	8755
429	6593	8740
430	6608	8724
431	6623	8708
432	6640	8695
433	6656	8681
434	6671	8665
435	6685	8647
436	6696	8627
437	6708	8608
438	6722	8590
439	6734	8571
440	6748	8554
441	6764	8540
442	6777	8522
443	6790	8503
444	6806	8488
445	6820	8471
446	6833	8454
447	6850	8440
448	6865	8425
449	6879	8408
450	6892	8390
451	6902	83453452	6915	83454453	6930	83455454	6945	83456455	6961	83457456	6975	82458457	6989	82459458	7004	82460459	7018	82461460	7033	82462461	7047	82463462	7059	81464463	7072	81465464	7085	81466465	7101	81467466	7122	81468467	7138	8114
468	7153	8099
